Date,Open,High,Low,Close,Adj Close
2018-01-03,1188.300049,1205.48999,1188.300049,1204.199951,1204.199951
2018-01-04,1205.0,1215.869995,1204.660034,1209.589966,1209.589966
2018-01-05,1217.51001,1229.140015,1210.0,1229.140015,1229.140015
2018-01-08,1236.0,1253.079956,1232.030029,1246.869995,1246.869995
2018-01-09,1256.900024,1259.329956,1241.76001,1252.699951,1252.699951
2018-01-10,1245.150024,1254.329956,1237.22998,1254.329956,1254.329956
2018-01-11,1259.73999,1276.77002,1256.459961,1276.680054,1276.680054
2018-01-12,1273.390015,1305.76001,1273.390015,1305.199951,1305.199951
2018-01-16,1323.0,1339.939941,1292.300049,1304.859985,1304.859985
2018-01-17,1312.23999,1314.0,1280.880005,1295.0,1295.0
2018-01-18,1293.949951,1304.599976,1284.02002,1293.319946,1293.319946
2018-01-19,1312.0,1313.0,1292.98999,1294.579956,1294.579956
2018-01-22,1297.170044,1327.449951,1296.660034,1327.310059,1327.310059
2018-01-23,1338.089966,1364.900024,1337.339966,1362.540039,1362.540039
2018-01-24,1374.819946,1388.160034,1338.0,1357.51001,1357.51001
2018-01-25,1368.0,1378.339966,1357.619995,1377.949951,1377.949951
2018-01-26,1392.01001,1402.530029,1380.910034,1402.050049,1402.050049
2018-01-29,1409.180054,1431.390015,1400.439941,1417.680054,1417.680054
2018-01-30,1403.170044,1439.25,1392.0,1437.819946,1437.819946
2018-01-31,1451.300049,1472.579956,1450.040039,1450.890015,1450.890015
